FPR;TPR;Threshold;AUC;horizon_hours
0,0;0,0;inf;0,9650075476033084;2
0,0;4,1919932928107315e-05;0,9997980426739129;0,9650075476033084;2
0,0;0,002389436176902117;0,9976285481696482;0,9650075476033084;2
0,0;0,0024732760427583315;0,9976255305793751;0,9650075476033084;2
0,0;0,0031020750366799413;0,997602982259559;0,9650075476033084;2
0,0;0,003185914902536156;0,9976022272694021;0,9650075476033084;2
0,0;0,0034793544330329073;0,9975937360845258;0,9650075476033084;2
0,0;0,0036470341647453362;0,9975923472470025;0,9650075476033084;2
0,0;0,004904632152588556;0,997540693155846;0,9650075476033084;2
0,0;0,004988472018444771;0,9975386434688717;0,9650075476033084;2
0,0;0,005575351079438273;0,9975211850256587;0,9650075476033084;2
0,0;0,005659190945294487;0,9975206755982395;0,9650075476033084;2
0,0;0,005701110878222595;0,9975179898542014;0,9650075476033084;2
0,0;0,0057849507440788095;0,9975130742145747;0,9650075476033084;2
0,0;0,0060783902745755606;0,9974950240405221;0,9650075476033084;2
0,0;0,006162230140431775;0,9974939554023404;0,9650075476033084;2
0,0;0,006413749738000419;0,9974885865164607;0,9650075476033084;2
0,0;0,006497589603856634;0,9974874441033257;0,9650075476033084;2
0,0;0,006581429469712848;0,9974868780573574;0,9650075476033084;2
0,0;0,006665269335569063;0,997486699904772;0,9650075476033084;2
0,0;0,00733598826241878;0,9974664472086024;0,9650075476033084;2
0,0;0,007461748061203102;0,9974639164640124;0,9650075476033084;2
0,0;0,0075875078599874244;0,997461374407867;0,9650075476033084;2
0,0;0,007671347725843639;0,997461106602966;0,9650075476033084;2
0,0;0,008342066652693356;0,997445131685989;0,9650075476033084;2
0,0;0,00842590651854957;0,9974449566777592;0,9650075476033084;2
0,0;0,009725424439320897;0,9974120050042672;0,9650075476033084;2
0,0;0,009809264305177113;0,9974116398412427;0,9650075476033084;2
0,0;0,0103123035003144;0,9974040057651462;0,9650075476033084;2
0,0;0,010396143366170615;0,9974035684784136;0,9650075476033084;2
0,0;0,011947180884510585;0,9973759450419156;0,9650075476033084;2
0,0;0,0120310207503668;0,9973740448214339;0,9650075476033084;2
0,0;0,012114860616223013;0,9973728242228939;0,9650075476033084;2
0,0;0,012198700482079229;0,9973722964159188;0,9650075476033084;2
0,0;0,014001257597987843;0,9973402382446893;0,9650075476033084;2
0,0;0,014085097463844058;0,9973382175371085;0,9650075476033084;2
0,0;0,015887654579752674;0,9973159498391723;0,9650075476033084;2
0,0;0,015971494445608886;0,9973144889878551;0,9650075476033084;2
0,0;0,016306853909033747;0,9973101373869038;0,9650075476033084;2
0,0;0,01639069377488996;0,9973099411163766;0,9650075476033084;2
0,0;0,017271012366380213;0,997295157851116;0,9650075476033084;2
0,0;0,01735485223223643;0,9972947833056616;0,9650075476033084;2
