	Дата	Единиц	Курс	 
	2.12.2021	1	83.8354	 
	1.12.2021	1	84.8234	 
	30.11.2021	1	84.4820	 
	27.11.2021	1	84.9526	 
	26.11.2021	1	83.6793	 
	25.11.2021	1	83.6394	 
	24.11.2021	1	84.1718	 
	23.11.2021	1	82.7715	 
	20.11.2021	1	82.5845	 
	19.11.2021	1	82.2583	 
	18.11.2021	1	82.3553	 
	17.11.2021	1	82.5244	 
	16.11.2021	1	82.7736	 
	13.11.2021	1	82.2173	 
	12.11.2021	1	81.6552	 
	11.11.2021	1	81.7870	 
	10.11.2021	1	82.6497	 
	9.11.2021	1	82.5355	 
	4.11.2021	1	82.8112	 
	3.11.2021	1	82.9577	 
	2.11.2021	1	82.1687	 
	30.10.2021	1	82.2898	 
	29.10.2021	1	81.8393	 
	28.10.2021	1	81.0289	 
	27.10.2021	1	80.7019	 
	26.10.2021	1	81.7418	 
	23.10.2021	1	82.4979	 
	22.10.2021	1	82.6399	 
	21.10.2021	1	82.6162	 
	20.10.2021	1	82.6841	 
	19.10.2021	1	82.4592	 
	16.10.2021	1	82.7276	 
	15.10.2021	1	83.3347	 
	14.10.2021	1	83.0028	 
	13.10.2021	1	83.0934	 
	12.10.2021	1	82.9273	 
	9.10.2021	1	83.1248	 
	8.10.2021	1	83.6053	 
	7.10.2021	1	83.9251	 
	6.10.2021	1	84.1723	 
	5.10.2021	1	84.6355	 
	2.10.2021	1	84.4577	 
	1.10.2021	1	84.3050	 
	30.09.2021	1	84.8755	 
	29.09.2021	1	84.6752	 
	28.09.2021	1	85.0355	 
	25.09.2021	1	85.6823	 
	24.09.2021	1	85.2040	 
	23.09.2021	1	85.4889	 
	22.09.2021	1	85.8568	 
	21.09.2021	1	85.8785	 
	18.09.2021	1	85.4614	 
	17.09.2021	1	85.3622	 
	16.09.2021	1	86.0674	 
	15.09.2021	1	85.9880	 
	14.09.2021	1	86.1150	 
	11.09.2021	1	86.1478	 
	10.09.2021	1	86.4677	 
	9.09.2021	1	86.9114	 
	8.09.2021	1	86.8922	 
